2021-04-20 00:03:56.022 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.029 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.035 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.041 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.048 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.054 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.061 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.067 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.073 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.080 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.087 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.093 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.099 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.106 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
2021-04-20 00:03:56.112 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
